country_name,Adjusted net national income per capita (current US$),"Compulsory education, duration (years)",Employment in services (% of total employment) (modeled ILO estimate),Gross savings (% of GNI),"Hospital beds (per 1,000 people)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)",Population growth (annual %),Urban population (% of total population)
"Gambia, The",582.3317723,9,57.65999985,8.803384863,1.1,7.115676256,44.08035963,2.921850237,61.931
Georgia,4014.090432,9,44.48199844,22.59943572,2.6,4.852898217,44.8878506,-0.165625314,59.039
Germany,40284.96091,13,72.05200195,28.09827236,8.3,1.445667015,46.3242333,0.273451074,77.376
Ghana,1461.737353,11,49.35499954,21.3686344,0.9,7.175922847,46.43977764,2.162577887,56.707
Greece,16994.1723,10,73.1230011,12.71061206,4.3,0.252978044,43.82420844,-0.154411355,79.388
Guatemala,3741.498253,16,50.29299927,17.19921273,0.6,3.69998398,33.04563554,1.560386048,51.439
Guinea,709.0856655,6,32.5379982,13.71498903,0.3,9.470779373,54.0989103,2.834575382,36.5
Guinea-Bissau,696.1840291,9,25.18700027,8.834778906,1,-1.509244606,47.73779273,2.456522095,43.777
Guyana,4048.123829,6,60.31000137,36.23365672,1.6,2.087230892,39.35100047,0.481762011,26.689
Haiti,805.2942101,6,65.03500366,24.22818069,0.7,18.70378257,47.3620889,1.249899403,56.192
Honduras,2141.250892,12,50.20700073,23.84740319,0.7,4.365871598,38.25979828,1.640648793,57.73
Hungary,12895.66092,13,62.63000107,28.99208839,7,3.338586354,45.60248017,-0.057455644,71.644
Iceland,58080.29499,10,80.06400299,25.53084527,3.2,3.013971792,47.39201899,2.406724253,93.855
India,1735.329397,8,32.32699966,29.77301455,0.7,7.659694743,19.94123688,1.015106028,34.472
Indonesia,2998.690092,9,49.6230011,31.96856269,1.2,3.03058665,39.34304731,1.100584587,55.985
"Iran, Islamic Rep.",4352.306986,9,51.85900116,37.69556923,1.5,39.90734557,19.47282191,1.352226023,75.391
Iraq,4350.643935,6,59.86000061,15.02372577,1.4,0.367441489,13.67246278,2.254134219,70.678
Ireland,42176.77677,10,76.98200226,43.71418594,2.8,0.939044481,45.87899794,1.511494038,63.405
Israel,36155.19506,15,82.27600098,24.37749567,3.1,0.841596534,47.38867112,1.901250951,92.501
Italy,28832.14206,12,70.77799988,20.7630165,3.4,0.611246944,42.59904615,-0.206038624,70.736
Jamaica,4690.177628,6,68.08000183,22.28834346,1.7,3.909646229,45.9957042,0.456356197,55.985
Japan,31889.51253,9,72.5739975,26.85781897,13.4,0.476973684,44.10748101,-0.208999473,91.698
Jordan,3863.091516,10,72.59999847,10.887851,1.4,0.761514047,18.19742732,1.452664319,91.203
Kazakhstan,6369.845625,9,64.06999969,29.87702817,6.7,5.245476796,47.97927192,1.290742218,57.54
Kenya,1406.616673,12,38.7480011,8.131768524,1.4,4.689819761,49.03082553,2.27190164,27.507
"Korea, Rep.",26856.19474,9,70.22499847,34.40468647,11.5,0.382946132,42.08417994,0.198353208,81.43
Kuwait,31628.76777,9,73.66100311,37.35564108,2,1.091848027,24.68324156,1.672323183,100
Kyrgyz Republic,1006.935629,10,54.88700104,21.01835044,4.5,1.133622577,38.31664692,2.098717844,36.591
Lao PDR,1854.910746,9,26.17700005,18.44248986,1.5,3.322813937,49.05497959,1.517115575,35.645
Latvia,13744.89936,11,69.76599884,22.72298684,5.8,2.811409201,49.93943878,-0.749229474,68.222
Lebanon,6399.603007,10,64.31099701,3.09892512,2.9,3.005389494,24.45115788,0.099061362,88.758
Lesotho,1155.015375,7,49.63499832,21.82792247,1.3,5.187083592,45.08936902,0.809566476,28.585
Liberia,434.8393432,6,46.86100006,-74.00750035,0.8,23.5635149,47.41395677,2.427194604,51.615
Libya,6637.259103,9,59.5359993,66.78648407,3.7,2.605818027,33.99453672,1.469777653,80.393
Lithuania,16133.06036,10,67.43499756,21.38278482,7.3,2.33450938,50.0823376,-0.526056406,67.855
Luxembourg,60188.56698,12,87.46199799,26.09385005,4.8,1.743320757,45.99930196,1.945908029,91.223
Madagascar,442.9580627,5,27.11499977,19.16985371,0.2,5.610514415,48.89360169,2.656240162,37.861
Malawi,296.722223,8,43.01800156,11.23060032,1.3,9.370836056,48.67801581,2.640375193,17.174
Malaysia,8180.051951,6,63.07600021,26.67921301,1.9,0.662891866,38.45043002,1.327060649,76.607
Maldives,8058.141463,7,73.42700195,22.58698695,4.3,0.220029731,19.93530892,2.91560605,40.238
Mali,738.2317129,9,30.17300034,16.81503378,0.1,-1.658266948,43.72148141,2.99663676,43.136
Malta,27290,11,81.00700378,33.19812105,4.7,1.642060018,40.86353694,3.651435801,94.678
Mauritania,1345.691111,9,36.27399826,33.74555802,0.4,2.300092621,31.58117557,2.741280273,54.507
Mauritius,10369.31365,11,69.00800323,15.49086904,3.4,0.40565519,39.58858164,0.032240043,40.766
Mexico,7447.238923,14,61.3730011,23.6002317,1.5,3.635961421,37.82749746,1.091362132,80.444
Moldova,3876.121113,11,47.53499985,15.69190484,5.8,4.837783514,49.44566627,-1.805225538,42.726
Mongolia,2553.442333,12,53.62099838,25.8623771,7,7.304815975,45.86328725,1.718753097,68.543
Montenegro,7717.759881,9,72.99900055,15.91003,4,2.611216472,43.58618902,-0.014465221,67.15
Morocco,2792.132642,9,44.0340004,28.18852223,1.1,0.196065521,24.1129708,1.22105093,62.994
Mozambique,438.1105348,9.923913043,21.49399948,14.03022537,0.7,2.781106312,52.01767714,2.907137438,36.528
Myanmar,1242.440203,5,35.57500076,30.5178976,0.9,8.825066968,40.4343381,0.625548337,30.852
Namibia,4598.594065,7,61.82300186,8.892606926,2.7,3.722394144,49.48225259,1.872480881,51.042
